split_threshold max_recursion_depth n time
10 0 1000 5153.0
10 1 1000 4029.5
10 2 1000 4313.4
10 3 1000 5070.2
10 4 1000 10371.4
10 5 1000 14092.9
10 6 1000 26031.8
10 7 1000 91680.6
10 8 1000 172199.6
10 9 1000 128633.1
10 10 1000 96337.5
35 0 1000 123678.1
35 1 1000 117733.8
35 2 1000 109305.6
35 3 1000 95957.0
35 4 1000 239445.8
35 5 1000 143062.4
35 6 1000 267059.4
35 7 1000 145236.9
35 8 1000 125146.0
35 9 1000 117724.8
35 10 1000 113947.6
60 0 1000 174589.0
60 1 1000 533333.0
60 2 1000 109888.7
60 3 1000 150623.7
60 4 1000 127003.0
60 5 1000 166771.2
60 6 1000 233058.1
60 7 1000 98785.3
60 8 1000 105975.6
60 9 1000 112793.2
60 10 1000 380133.2
85 0 1000 115496.9
85 1 1000 122833.0
85 2 1000 169437.5
85 3 1000 147334.8
85 4 1000 126422.6
85 5 1000 130272.3
85 6 1000 160362.5
85 7 1000 101929.1
85 8 1000 430076.2
85 9 1000 97258.6
85 10 1000 127641.3
110 0 1000 108023.1
110 1 1000 90143.7
110 2 1000 101418.2
110 3 1000 69243.4
110 4 1000 101342.2
110 5 1000 99371.3
110 6 1000 93541.6
110 7 1000 96240.6
110 8 1000 232776.3
110 9 1000 87283.7
110 10 1000 85228.3
135 0 1000 131155.6
135 1 1000 91148.4
135 2 1000 102829.5
135 3 1000 121391.0
135 4 1000 97388.6
135 5 1000 72505.3
135 6 1000 90807.3
135 7 1000 126615.8
135 8 1000 94966.4
135 9 1000 91945.8
135 10 1000 96086.4
160 0 1000 90219.6
160 1 1000 110826.1
160 2 1000 106060.7
160 3 1000 106057.5
160 4 1000 75378.7
160 5 1000 131625.0
160 6 1000 141749.8
160 7 1000 115490.5
160 8 1000 99673.5
160 9 1000 97760.1
160 10 1000 134357.3
185 0 1000 99715.7
185 1 1000 145891.6
185 2 1000 94926.6
185 3 1000 99049.4
185 4 1000 127637.7
185 5 1000 104131.2
185 6 1000 122078.7
185 7 1000 153599.9
185 8 1000 115319.3
185 9 1000 116750.7
185 10 1000 94351.8
210 0 1000 166913.3
210 1 1000 119935.3
210 2 1000 103548.1
210 3 1000 217370.2
210 4 1000 180264.2
210 5 1000 64866.7
210 6 1000 122909.8
210 7 1000 117058.4
210 8 1000 91411.8
210 9 1000 90497.7
210 10 1000 104570.2
235 0 1000 95596.8
235 1 1000 92872.2
235 2 1000 310011.9
235 3 1000 198730.1
235 4 1000 110190.5
235 5 1000 103359.6
235 6 1000 98451.8
235 7 1000 108786.0
235 8 1000 109236.8
235 9 1000 110486.9
235 10 1000 196804.6
260 0 1000 80045.6
260 1 1000 114673.5
260 2 1000 191910.2
260 3 1000 311001.9
260 4 1000 272237.1
260 5 1000 132775.1
260 6 1000 93356.2
260 7 1000 135847.1
260 8 1000 134627.4
260 9 1000 92681.8
260 10 1000 100996.7
285 0 1000 104008.5
285 1 1000 108313.3
285 2 1000 92050.2
285 3 1000 181581.3
285 4 1000 118279.3
285 5 1000 135378.3
285 6 1000 139648.4
285 7 1000 126713.3
285 8 1000 114548.4
285 9 1000 76158.2
285 10 1000 132161.5
310 0 1000 156782.9
310 1 1000 363863.3
310 2 1000 111685.1
310 3 1000 118775.4
310 4 1000 120886.8
310 5 1000 109198.8
310 6 1000 123822.9
310 7 1000 107327.2
310 8 1000 239207.6
310 9 1000 130247.4
310 10 1000 87908.7
335 0 1000 129783.0
335 1 1000 127554.4
335 2 1000 97828.9
335 3 1000 100184.2
335 4 1000 220320.5
335 5 1000 98011.8
335 6 1000 93419.3
335 7 1000 119821.6
335 8 1000 79280.7
335 9 1000 100617.6
335 10 1000 197932.3
360 0 1000 85134.8
360 1 1000 113671.5
360 2 1000 108479.6
360 3 1000 120882.2
360 4 1000 87538.1
360 5 1000 126397.8
360 6 1000 182754.8
360 7 1000 82349.6
360 8 1000 182684.8
360 9 1000 111529.6
360 10 1000 319462.5
385 0 1000 121925.7
385 1 1000 112859.7
385 2 1000 105629.0
385 3 1000 116381.7
385 4 1000 113700.9
385 5 1000 234341.0
385 6 1000 217011.1
385 7 1000 141997.8
385 8 1000 77503.5
385 9 1000 94707.3
385 10 1000 161479.4
410 0 1000 135325.4
410 1 1000 242874.0
